f,s,c,ibrain,stage
0.0035099,0.0045879,0.0043726,1,46
0.0053866,0.0089088,0.0074092,1,46
0.0060034,0.0088142,0.007755,1,46
0.0040117,0.0053349,0.0042489,1,46
0.0040786,0.0065046,0.0066376,1,46
0.0080201,0.013088,0.012773,1,46
0.0057136,0.009551,0.0077322,1,46
0.00335,0.0044209,0.0035313,1,46
0.0033715,0.0036798,0.0038986,1,46
0.0041161,0.0041679,0.0041638,1,46
0.0025386,0.0038495,0.0037285,1,46
0.0065087,0.012701,0.011247,1,46
0.0078424,0.012695,0.011596,1,46
0.0077794,0.01156,0.010785,1,46
0.0037963,0.0042681,0.0040459,1,46
0.0029874,0.0040109,0.0034111,1,46
0.0075691,0.010769,0.0099157,1,46
0.0044516,0.0063908,0.0069356,1,46
0.0051171,0.0075552,0.0066872,1,46
0.0062315,0.0087557,0.00772,1,46
0.0061455,0.0087503,0.0083538,1,46
0.0053774,0.0058915,0.0060799,1,46
0.0056132,0.011028,0.0077644,1,46
0.0051913,0.0066928,0.0067325,1,46
0.0086442,0.013775,0.011832,1,46
0.0032507,0.0044082,0.0035863,1,46
0.0026697,0.0027744,0.002712,1,46
0.0025953,0.0029139,0.00277,1,46
0.0033587,0.0042182,0.0039622,1,46
0.0068556,0.01078,0.0094444,1,46
0.0090215,0.0089478,0.011128,1,46
0.0050109,0.008582,0.0077297,1,46
0.0054987,0.0079621,0.0078654,1,46
0.0056186,0.0075651,0.0066753,1,46
0.0044499,0.0065441,0.0053881,1,46
0.0040179,0.0065323,0.0056097,1,46
0.0051084,0.0069319,0.0060303,1,46
0.0064372,0.0088004,0.0090972,1,46
0.0083124,0.012281,0.011019,1,46
0.0039678,0.0071189,0.0061158,1,46
0.0050315,0.0066884,0.006526,1,46
0.0069269,0.011223,0.0099075,1,46
0.0058476,0.0077156,0.0064275,1,46
0.0072402,0.012498,0.01025,1,46
0.0046284,0.0056213,0.0052382,1,46
0.0068199,0.009419,0.0070731,1,46
0.0034017,0.0051943,0.0044816,1,46
0.0075881,0.013207,0.0094256,1,46
0.0044424,0.0078128,0.0063168,1,46
0.006,0.011559,0.009857,1,46
0.0031454,0.0038415,0.0035284,1,46
0.004716,0.0063928,0.0058595,1,46
0.0025956,0.0036121,0.0033438,1,46
0.0064522,0.0058408,0.005205,1,46
0.0037782,0.0043534,0.0042154,1,46
0.0062207,0.011833,0.0083892,1,46
0.003223,0.0043656,0.0046915,1,46
0.0029433,0.0034541,0.0031884,1,46
0.0048489,0.0069011,0.0061475,1,46
0.0047049,0.0095524,0.0071699,1,46
0.0046779,0.0065353,0.0056175,1,46
0.0070634,0.0085524,0.0080726,1,46
0.0070986,0.011071,0.010837,1,46
0.007618,0.010483,0.0097466,1,46
0.0038206,0.0060659,0.0058192,1,46
0.008196,0.011906,0.010283,1,46
0.0030711,0.0032682,0.0035899,1,46
0.0067602,0.0095525,0.008686,1,46
0.0063561,0.0089819,0.0087271,1,46
0.0063537,0.008282,0.0072991,1,46
0.0063082,0.011667,0.0092973,1,46
0.0027758,0.0034478,0.0031312,1,46
0.0035284,0.0050024,0.0044512,1,46
0.0048338,0.0072172,0.0065859,1,46
0.021211,0.02537,0.030655,2,46
0.0057381,0.0057665,0.0079207,2,46
0.004132,0.0044369,0.005587,2,46
0.0020227,0.0024847,0.0027108,2,46
0.0025595,0.003557,0.0037649,2,46
0.0028291,0.0030757,0.0046165,2,46
0.012726,0.018776,0.024157,2,46
0.011607,0.013029,0.014109,2,46
0.0093737,0.012987,0.015024,2,46
0.010554,0.013087,0.015627,2,46
0.019469,0.017841,0.020605,2,46
0.013039,0.016255,0.020187,2,46
0.0097096,0.013526,0.014692,2,46
0.0083401,0.012901,0.014637,2,46
0.0029327,0.0045583,0.0048423,2,46
0.0035262,0.005299,0.0068258,2,46
0.0079826,0.010473,0.013682,2,46
0.0087482,0.010184,0.012875,2,46
0.012087,0.012017,0.015821,2,46
0.0086266,0.01235,0.013112,2,46
0.0069164,0.0097828,0.01038,2,46
0.0061303,0.0066047,0.008636,2,46
0.0067619,0.0049398,0.0059304,2,46
0.0030337,0.0038217,0.0049461,2,46
0.0023239,0.0016994,0.0021362,2,46
0.002112,0.0020002,0.0032227,2,46
0.0045438,0.0079265,0.0096585,2,46
0.011882,0.015642,0.017671,2,46
0.011083,0.011168,0.011707,2,46
0.0042436,0.0072365,0.0068867,2,46
0.0090727,0.012465,0.017046,2,46
0.012716,0.0148,0.018467,2,46
0.0030541,0.003757,0.0059131,2,46
0.0065214,0.0067698,0.0089355,2,46
0.0051424,0.0066396,0.0084693,2,46
0.0030108,0.0035984,0.0058259,2,46
0.0048397,0.006135,0.007754,2,46
0.010449,0.0092511,0.014892,2,46
0.0088249,0.010273,0.012161,2,46
0.0070027,0.0086038,0.008631,2,46
0.0084083,0.010409,0.013099,2,46
0.0099864,0.0073065,0.01102,2,46
0.0047881,0.0076398,0.0084314,2,46
0.0028433,0.0034368,0.0052721,2,46
0.0027565,0.0046175,0.005861,2,46
0.0029657,0.0036783,0.0042453,2,46
0.0087612,0.011121,0.012781,2,46
0.0030235,0.0042334,0.0046675,2,46
0.0044393,0.0064576,0.007013,2,46
0.0040293,0.0056562,0.0063425,2,46
0.0068333,0.0088324,0.010746,2,46
0.0034894,0.0043011,0.0049139,2,46
0.0040878,0.0052261,0.0058465,2,46
0.005017,0.0071817,0.0081855,2,46
0.0060804,0.0097755,0.010931,2,46
0.0080184,0.011493,0.01438,2,46
0.0071894,0.011455,0.014598,2,46
0.0062616,0.0097998,0.012706,2,46
0.0068822,0.0095017,0.011599,2,46
0.0025091,0.0026994,0.0030716,2,46
0.0022185,0.0034842,0.0043088,2,46
0.002201,0.0024566,0.0028841,2,46
0.0022807,0.0037683,0.0049703,2,46
0.0020746,0.0026595,0.0031608,2,46
0.0047842,0.0047637,0.0069022,2,46
0.0052295,0.0054628,0.0069356,2,46
0.0037275,0.0044299,0.0053259,2,46
0.0015397,0.0019841,0.0024029,2,46
0.0084998,0.0098073,0.013462,2,46
0.0039273,0.0057028,0.0061428,2,46
0.0055892,0.0073663,0.0089263,2,46
0.0072613,0.0092954,0.010733,2,46
0.0041407,0.0045941,0.005417,2,46
0.0024886,0.0031099,0.0040424,2,46
0.0058488,0.0053609,0.0081142,2,46
0.0046413,0.0056747,0.0072054,2,46
0.0051946,0.007563,0.011096,2,46
0.0051869,0.0071233,0.0089522,2,46
0.0027082,0.0040814,0.0062405,2,46
0.0096041,0.012831,0.016524,2,46
0.0029289,0.0033743,0.004946,2,46
0.004835,0.0071173,0.0077835,2,46
0.0070138,0.0086913,0.010077,2,46
0.0048842,0.007444,0.0076831,2,46
0.0061475,0.0090832,0.011032,2,46
0.0073478,0.00768,0.0090791,2,46
0.0061121,0.0082314,0.010228,2,46
0.0089343,0.010512,0.012234,2,46
0.011025,0.012804,0.015195,2,46
0.0094833,0.0092221,0.01256,2,46
0.0053553,0.0077637,0.0089644,2,46
