nexp, ncell, selFC, selSC, indegree, oudegree, katz, revkatz, clust, spiking, insel
1,104,0.26741,0.12476,0.027267,0,0.11103,0.1,0,0.0027539,0.010976
1,105,0.17587,0.041857,0.021052,0,0.10851,0.1,0,0.002537,0.0039884
1,107,1.4383,-0.56331,0.23575,0.056262,0.25159,0.1172,0.00045545,0.011313,0.11073
1,108,0.72036,-1.1974,0.032426,0.032946,0.11311,0.11156,0,0.01147,0.021418
1,109,0.207,-0.53369,0,0.079958,0.1,0.12716,0,0.0083796,0
1,110,0.33636,-0.33083,0.13406,0.16288,0.19147,0.15286,0.0019074,0.0058171,0.084898
1,111,0.9375,-0.66153,0.054582,0.025016,0.13441,0.10687,0,0.0077995,0.021995
1,112,0.67544,-0.42171,0.060311,0.079307,0.12829,0.12568,0,0.0058312,0.044227
1,113,0.35183,-0.30105,0.028442,0.12385,0.12896,0.13359,0,0.0054509,0.040908
1,115,1.5946,-0.70991,0.13389,0.18033,0.20119,0.15521,0.0012819,0.012485,0.074082
1,116,0.81551,-0.56465,0,0.091794,0.1,0.12602,0.0051859,0.010596,0
1,119,0.7766,-0.34987,0.047806,0.035212,0.11933,0.11057,0.0051859,0.010317,0.030324
1,120,0.46896,-0.055892,0.05426,0.026372,0.12775,0.10643,0.0048649,0.002874,0.049542
1,121,0.41315,-0.15438,0.10459,0,0.17525,0.1,0.0059718,0.0037404,0.059383
1,122,0.65712,-0.43746,0.022829,0.029087,0.10923,0.10892,0,0.0094813,0.00051217
1,123,0.68582,-0.13334,0.025844,0,0.12103,0.1,0,0.014979,0.016908
1,128,0.56955,-0.55774,0.033377,0,0.13519,0.1,0,0.0059581,0.042725
1,129,1.2536,-0.023669,0.3691,0.078133,0.32088,0.12307,0.001056,0.0077119,0.29109
1,132,0.66052,-0.36153,0,0.032426,0.1,0.10882,0,0.0095099,0
1,134,0.62829,-0.36631,0.055388,0,0.13164,0.1,0,0.0072349,0.035174
1,137,0.62074,0.027224,0,0.032588,0.1,0.10795,0,0.0057403,0
1,138,0.84296,-0.046704,0.035027,0,0.1162,0.1,0,0.011294,0.051429
1,144,1.2572,-0.27003,0,0.084023,0.1,0.12323,0,0.010152,0
1,146,0.72824,-0.14618,0,0.031193,0.1,0.10936,0,0.010042,0
1,149,0.46927,-0.134,0,0.0588,0.1,0.11478,0,0.0094178,0
1,150,0.65416,0.12774,0,0.030366,0.1,0.1096,0,0.005926,0
1,151,0.47305,-0.24426,0.071999,0.022953,0.13981,0.1056,0,0.0064532,0.038814
1,153,0.76048,-0.11292,0.096567,0.029784,0.14174,0.10806,0,0.0077499,0.05712
1,154,0.26863,0.07866,0.072722,0.045825,0.13744,0.11516,0.0012308,0.0057829,0.070432
1,156,0.84432,0.019347,0.02748,0,0.11111,0.1,0,0.0062055,0.011544
1,157,0.86051,-0.40653,0.084259,0.16587,0.14398,0.15159,0.0027639,0.011417,0.063345
1,160,0.15234,-0.11315,0.032172,0,0.11301,0.1,0,0.0027597,0.010003
1,161,0.31872,-0.11997,0,0.027735,0.1,0.10676,0,0.0038464,0
1,163,0.54487,0.64512,0.064369,0.034951,0.12798,0.10997,0,0.009699,0.055811
1,164,1.2801,-0.30013,0.25629,0.16082,0.26048,0.14386,0.00064905,0.0071075,0.16046
1,165,1.285,-0.043033,0.15565,0.064114,0.21084,0.11697,0.00085312,0.0071087,0.1653
1,166,0.34727,-0.22325,0,0.037363,0.1,0.11276,0,0.0066197,0
1,167,0.47884,-0.4779,0.034572,0,0.11398,0.1,0,0.0054607,0.020401
1,168,0.70638,-0.32539,0.095287,0,0.17599,0.1,0,0.0053866,0.061896
1,169,0.4199,-0.33693,0.021351,0.024606,0.10999,0.10846,0,0.0060235,0.005771
1,170,0.96435,0.10346,0,0.14525,0.1,0.15151,0.0065528,0.0081116,0
1,171,0.84391,-0.33704,0.033318,0,0.12176,0.1,0,0.010537,0.035384
1,172,0.9526,-0.33471,0.12287,0.12648,0.15815,0.13616,0.0011555,0.0057342,0.078304
1,173,0.72959,-0.073939,0.086547,0.067236,0.14941,0.11853,0,0.0060819,0.060532
1,174,1.4881,-0.44705,0.13629,0.051787,0.18201,0.11568,0.0019084,0.0093525,0.1449
1,175,0.2179,-0.38738,0,0.025628,0.1,0.10625,0,0.0066635,0
1,176,0.59502,-0.29781,0,0.032354,0.1,0.11039,0,0.0099961,0
1,180,0.52949,-0.88916,0.11382,0.061891,0.15412,0.11541,0.0018664,0.010074,0.070851
1,181,1.062,-0.69734,0.11684,0.13092,0.16142,0.13756,0.0020144,0.0061906,0.090012
1,182,1.4575,-0.40579,0.050591,0.02732,0.12046,0.10779,0,0.0091387,0.029855
1,184,0.43288,-0.18822,0.057446,0,0.1318,0.1,0,0.0056561,0.031017
1,185,0.40255,-0.13246,0,0.027267,0.1,0.10665,0,0.0031839,0
1,191,0.67092,-0.34339,0.12758,0.10158,0.17213,0.13201,0.0016407,0.0059658,0.10881
1,192,0.81309,-0.56677,0,0.021061,0.1,0.10592,0,0.0071424,0
1,193,0.39174,-0.33314,0.08748,0.02201,0.13969,0.10602,0,0.0056102,0.052473
1,194,0.28985,-0.12524,0.11775,0.1393,0.15219,0.1409,0.00066659,0.0078962,0.057284
1,195,1.0168,-0.05229,0,0.13221,0.1,0.14222,0,0.0096687,0
1,197,0.75361,-0.073833,0,0.021164,0.1,0.10516,0,0.0052352,0
1,198,0.47306,-0.27629,0.021355,0,0.10864,0.1,0,0.010128,0.005078
1,200,0.50244,-0.2094,0,0.065595,0.1,0.11838,0,0.0083329,0
1,203,0.78528,-0.43299,0.03749,0,0.13952,0.1,0,0.0090908,0.04799
2,1,1.7473,0.95072,0.070409,0.097027,0.14164,0.15031,0,0.025745,0.060367
2,6,0.68939,0.57071,0,0.090411,0.1,0.13005,0,0.0035071,0
2,7,2.5881,1.0807,0.10642,0.031868,0.15948,0.11991,0.0029495,0.018553,0.13
2,8,0.66434,0.24776,0.031272,0.092742,0.11267,0.14175,0,0.012915,0.07406
2,10,0.86352,0.42727,0,0.058872,0.1,0.11957,0,0.01309,0
2,11,0.15283,0.4001,0.15606,0.22209,0.19878,0.19829,0.0010918,0.019305,0.28059
2,12,1.591,0.77773,0.055659,0.05421,0.13641,0.12467,0.0024992,0.016494,0.11296
2,13,2.0543,0.37506,0,0.12792,0.1,0.15713,0,0.012642,0
2,14,2.3683,0.55607,0,0.06321,0.1,0.1284,0,0.011959,0
2,15,1.1348,0.12546,0.025785,0.034079,0.11045,0.11237,0,0.0041111,0.021793
2,16,1.9207,0.75639,0.1978,0.069121,0.21721,0.13975,0.001131,0.005217,0.31043
2,17,2.0369,0.97324,0.12776,0.104,0.17553,0.14013,0,0.010712,0.22071
2,18,0.89513,0.56436,0,0.10067,0.1,0.13853,0,0.010602,0
2,22,0.49095,0.34279,0.020861,0,0.10845,0.1,0,0.0071236,0.018014
2,24,1.038,0.59232,0.035003,0,0.11418,0.1,0,0.0039338,0.014681
2,26,0.81135,0.7502,0.025096,0,0.11017,0.1,0,0.002445,0.02064
2,28,1.8943,0.52774,0.076423,0.10423,0.13488,0.14021,0.0017697,0.015065,0.12536
2,30,0.63649,-0.080918,0,0.032593,0.1,0.1163,0,0.0061223,0
2,31,1.7195,0.804,0.028605,0.18527,0.11306,0.19116,0.0033863,0.012861,0.019003
2,32,1.2211,0.74588,0,0.12379,0.1,0.15655,0,0.015328,0
2,33,2.113,1.2693,0.029723,0.11407,0.11372,0.15339,0,0.0042414,0.032444
2,34,0.96689,0.69544,0.033356,0,0.11513,0.1,0,0.0074089,0.042837
2,37,1.598,0.69481,0.043949,0,0.13542,0.1,0,0.0062429,0.006717
2,38,1.0397,1.3156,0.029257,0.02448,0.11327,0.10968,0,0.011531,0.037572
2,41,1.3425,0.65607,0.029281,0.02933,0.11187,0.11367,0,0.010639,0.035754
2,42,0.35851,1.2305,0.061207,0.091754,0.14172,0.1333,0.0029495,0.0094378,0.095917
2,44,0.80332,0.54339,0.035951,0,0.11457,0.1,0,0.0038507,0.031803
2,45,1.0307,0.32297,0,0.05933,0.1,0.11972,0,0.0044117,0
2,47,1.9325,0.79675,0.1505,0.096901,0.19421,0.15023,0.0024552,0.010888,0.22666
2,48,1.894,0.36715,0.27076,0.02758,0.28287,0.10917,0.0014203,0.0039748,0.38922
2,50,1.77,0.38688,0.022752,0,0.11678,0.1,0,0.0053427,0.039227
2,51,1.7084,0.75514,0.089902,0.052367,0.17314,0.12219,0.0069381,0.0088038,0.11362
2,53,1.2919,0.40933,0.13693,0.025241,0.17378,0.11176,0,0.0050535,0.21545
2,56,2.3395,0.82903,0,0.031134,0.1,0.11291,0,0.011297,0
2,57,2.6062,0.88391,0.17256,0.041237,0.23524,0.12576,0.0084678,0.011081,0.31175
2,58,2.6551,0.94475,0.1193,0.16307,0.19126,0.18769,0.0041513,0.0095891,0.24604
2,60,0.27165,0.19345,0.036807,0,0.11492,0.1,0,0.00276,0.037938
2,61,0.81799,0.28801,0.038011,0,0.1154,0.1,0,0.0033372,0.032823
2,62,0.41943,0.26607,0,0.035003,0.1,0.11163,0,0.0025139,0
2,63,0.92675,0.34486,0.045919,0,0.11861,0.1,0,0.0036731,0.031656
2,65,0.84518,0.81132,0,0.025785,0.1,0.10963,0,0.0054834,0
2,66,0.90183,0.73166,0.041199,0.031725,0.1167,0.11055,0,0.005876,0.056533
2,67,0.93439,0.4091,0.044493,0,0.11803,0.1,0,0.0044944,0.030673
2,68,1.269,0.53306,0.031725,0,0.115,0.1,0,0.0019756,0.02861
2,69,1.0477,0.70291,0.17197,0.037816,0.18549,0.11891,0,0.01059,0.23748
2,70,1.6498,0.22162,0,0.068406,0.1,0.12765,0,0.0052576,0
2,71,1.0915,0.45543,0.030173,0.099954,0.11389,0.14304,0.0029176,0.0072939,0.064873
2,72,1.7241,0.63989,0.10448,0.10892,0.18185,0.14878,0.00074977,0.0090966,0.11302
2,74,0.82247,0.43809,0,0.025096,0.1,0.10834,0,0.0032136,0
2,77,1.1779,0.62966,0.037276,0,0.12037,0.1,0,0.0079512,0.070613
2,78,0.81973,0.38246,0,0.023872,0.1,0.11491,0,0.0070875,0
2,80,2.1501,0.99849,0.033533,0.14096,0.11359,0.17199,0,0.012987,0.026769
2,81,0.88462,0.643,0,0.035951,0.1,0.11195,0,0.0037497,0
2,82,1.3659,0.25618,0.039058,0,0.11583,0.1,0,0.0065786,0.064437
2,83,1.8305,0.66673,0.17361,0.10914,0.20799,0.14283,0.0017193,0.008594,0.28864
2,84,1.5578,0.085426,0,0.056503,0.1,0.1248,0,0.0066704,0
2,85,1.3388,0.49263,0.16895,0.070946,0.1914,0.12864,0.0016971,0.0087542,0.26862
2,89,1.2842,0.53954,0.029491,0.1076,0.11195,0.14273,0,0.013008,0.028706
2,90,0.79829,0.8104,0,0.05977,0.1,0.13139,0,0.010422,0
2,91,1.3352,0.35868,0.045048,0,0.11826,0.1,0,0.0073611,0.026624
2,93,0.61634,0.52302,0,0.023677,0.1,0.11522,0,0.0045121,0
2,96,0.591,0.77776,0,0.070411,0.1,0.1234,0,0.0065317,0
2,98,1.3722,0.9725,0,0.041199,0.1,0.11514,0,0.0055608,0
2,100,0.89968,0.39293,0.11569,0.044328,0.1571,0.11753,0,0.0092491,0.18018
2,103,0.97339,0.39091,0,0.029491,0.1,0.11399,0,0.0035598,0
2,104,2.2456,0.62528,0,0.026465,0.1,0.11132,0,0.0077662,0
2,107,0.6415,0.53591,0.025363,0,0.11028,0.1,0,0.0064359,0.014989
2,110,1.6362,1.1559,0.23687,0.20965,0.2393,0.19317,0.002086,0.0096007,0.45737
2,112,1.2604,0.87535,0.19901,0,0.21823,0.1,0,0.012482,0.24335
3,1,1.2549,0.47744,0.063853,0.16447,0.1278,0.1592,0.0010424,0.019508,0.036684
3,2,3.0122,-0.92397,0,0.22685,0.1,0.16365,0,0.013356,0
3,3,1.5438,0.25628,0.079967,0.13467,0.14357,0.1389,0.0015366,0.012547,0.11866
3,4,3.1406,0.85187,0.20849,0.036509,0.18724,0.11197,0.0012847,0.016466,0.26203
3,5,0.45405,0.37819,0,0.07908,0.1,0.12462,0,0.0048736,0
3,6,1.2657,-0.26436,0.099718,0.038856,0.1453,0.11029,0.0026108,0.016312,0.097529
3,7,1.4573,0.23282,0.026177,0.060564,0.11214,0.11661,0.0047831,0.015403,0.017035
3,8,0.39964,0.56136,0.12372,0.038709,0.15614,0.1142,0,0.0040616,0.062908
3,9,0.57044,-0.033396,0.10233,0.04403,0.14902,0.11281,0,0.0067224,0.071611
3,10,0.98558,-0.068399,0,0.03783,0.1,0.11002,0,0.01312,0
3,14,1.2214,-0.22494,0.033976,0.036061,0.11968,0.11181,0,0.010943,0.058232
3,15,1.407,0.0030551,0.053261,0.03039,0.11858,0.11298,0,0.012178,0.16043
3,16,1.636,-0.26936,0.065928,0,0.12465,0.1,0,0.011265,0.16749
3,20,0.6065,0.37992,0,0.066897,0.1,0.12064,0,0.0028083,0
3,21,0.64772,0.32082,0,0.035993,0.1,0.11126,0,0.0028351,0
3,23,0.84923,0.41395,0.03086,0.055835,0.11076,0.11774,0,0.0039661,0.020651
3,24,0.22564,0.1481,0.033149,0.077723,0.11156,0.12159,0,0.0032388,0.014594
3,26,0.7308,0.36285,0,0.056365,0.1,0.12068,0,0.0031015,0
3,27,0.49182,0.27019,0,0.025542,0.1,0.10677,0,0.0029763,0
3,28,1.4656,-0.025036,0.026551,0,0.10926,0.1,0,0.0090169,0.02001
3,29,1.3371,0.37033,0.11905,0.16102,0.1545,0.15519,0.0021208,0.0070982,0.11795
3,31,1.6502,-0.027659,0.0513,0.030355,0.12389,0.10876,0,0.008435,0.066991
3,32,2.1382,0.48438,0.11939,0.081724,0.15598,0.12904,0.0021573,0.0090679,0.11865
3,33,2.165,0.51925,0.025231,0.25803,0.11519,0.17701,0.0016761,0.013256,0.034833
3,34,0.77493,0.32492,0.14892,0.025416,0.18258,0.11208,0.0039256,0.0046127,0.20399
3,35,0.93358,0.49127,0.09391,0.080568,0.14153,0.12795,0.0017118,0.0042281,0.10822
3,36,1.3546,1.0484,0.10983,0.033994,0.15516,0.11163,0.0052422,0.010962,0.13884
3,37,2.1446,0.50225,0.028255,0.12118,0.11322,0.1422,0,0.012498,0.052032
3,38,1.8415,0.48909,0.059223,0.17515,0.13412,0.15851,0.0024134,0.00922,0.10197
3,39,1.3565,0.507,0.036841,0.043908,0.11502,0.11163,0,0.0070233,0.040899
3,40,0.63521,0.27947,0.091426,0,0.13974,0.1,0,0.0051097,0.14336
3,41,1.0801,0.28751,0.032081,0,0.11289,0.1,0,0.0074808,0.069455
3,43,0.74427,0.60608,0,0.039633,0.1,0.11712,0,0.0064806,0
