ibrain,stage,cellid,x,y,dist,lat,ac,af,as,selfc,selsc
1,46,73,408,232,398.39,648,0.0036327,0.0033546,0.0035171,0.16042,0.072842
1,46,74,324,308,361.66,612,0.0053222,0.004503,0.0061106,0.29145,-0.2482
1,46,75,220,336,307.87,324,0.012365,0.0095424,0.013138,0.5713,-0.13135
1,46,76,296,276,320.12,588,0.0082989,0.005773,0.009804,0.54338,-0.25175
1,46,77,252,236,261.13,240,0.0057054,0.0043324,0.0075174,0.58097,-0.47811
1,46,78,276,256,292.24,540,0.0077382,0.0054275,0.0093061,0.56469,-0.3065
1,46,79,272,236,277.89,732,0.006152,0.0044241,0.0070634,0.49517,-0.25294
1,46,80,284,216,278.48,588,0.0057117,0.0046942,0.0066084,0.32784,-0.26427
1,46,81,224,228,233.66,432,0.0084243,0.005244,0.011579,1.0103,-0.62539
1,46,82,260,188,244.76,324,0.0067864,0.0066977,0.0084087,0.022435,-0.43153
1,46,83,240,172,220.09,600,0.0081177,0.00655,0.0096785,0.4201,-0.31863
1,46,84,224,152,198.13,444,0.011485,0.0093845,0.015463,0.30292,-0.40522
1,46,85,304,368,386.73,432,0.0079745,0.0068084,0.0088344,0.32411,-0.20251
1,46,86,252,372,355.88,420,0.010329,0.0074897,0.010022,0.69319,0.064352
1,46,87,88,264,182.46,336,0.010069,0.0057492,0.01125,1.3898,-0.30092
1,46,88,84,108,51.478,240,0.011046,0.0077974,0.012982,0.79934,-0.40821
1,46,89,120,112,86.95,252,0.0063224,0.0052454,0.0074381,0.41942,-0.33915
1,46,90,108,84,72.051,252,0.010215,0.008442,0.009859,0.38079,0.061745
1,46,91,140,84,104,372,0.0085872,0.0087957,0.010441,-0.04654,-0.34335
1,46,92,160,92,123.91,348,0.0082834,0.0094667,0.0084152,-0.32106,-0.030791
1,46,93,340,356,404.46,456,0.0089718,0.006242,0.0092687,0.63622,-0.055084
1,46,94,300,404,410.86,660,0.0072328,0.0053784,0.0078321,0.56901,-0.14813
1,46,95,304,440,441.48,732,0.0072404,0.004818,0.007167,0.60956,0.015928
1,46,96,428,352,471.91,720,0.0065737,0.004657,0.0066104,0.53285,-0.0089838
1,46,97,452,360,496.34,708,0.0056384,0.0032225,0.0061034,0.86184,-0.13321
1,46,98,376,360,434.64,624,0.005696,0.0039913,0.0066339,0.58045,-0.23141
1,46,99,352,372,424.06,624,0.005961,0.005232,0.0064441,0.24565,-0.14397
1,46,100,400,380,465.88,672,0.0041316,0.0031209,0.0039896,0.50505,0.067132
1,46,101,344,300,373.2,576,0.0052592,0.0046475,0.0056635,0.22527,-0.1349
1,46,102,320,212,309.35,708,0.0044633,0.0038206,0.0056194,0.29354,-0.38997
1,46,103,224,200,218.18,372,0.0096193,0.0052807,0.014327,0.9901,-0.53478
1,46,104,460,208,440.24,672,0.0029238,0.0025787,0.0027591,0.26741,0.12476
1,46,105,412,72,376.26,624,0.002618,0.0024198,0.0025731,0.17587,0.041857
1,46,106,180,232,202.8,480,0.012433,0.010781,0.014434,0.31569,-0.29101
1,46,107,100,184,114.42,336,0.012218,0.0055205,0.0162,1.4383,-0.56331
1,46,108,100,164,98.458,324,0.0092404,0.0064546,0.018716,0.72036,-1.1974
1,46,109,168,208,177.58,384,0.0073427,0.0064647,0.011331,0.207,-0.53369
1,46,110,164,180,156.91,348,0.0057645,0.0048192,0.0068674,0.33636,-0.33083
1,46,111,196,252,228.26,360,0.007785,0.0048088,0.010805,0.9375,-0.66153
1,46,112,164,252,207.12,336,0.0059188,0.0044795,0.0070953,0.67544,-0.42171
1,46,113,48,352,263.2,396,0.0054217,0.0048797,0.0060513,0.35183,-0.30105
1,46,114,24,376,287.18,432,0.0074691,0.0045109,0.010554,1.5347,-1.0141
1,46,115,28,312,223.08,468,0.012958,0.0085371,0.015961,1.5946,-0.70991
1,46,116,276,76,240.23,336,0.0098547,0.0063684,0.015564,0.81551,-0.56465
1,46,117,304,72,268.42,756,0.0040909,0.003522,0.0048826,0.29198,-0.33359
1,46,118,144,120,112.22,348,0.011564,0.0093718,0.018793,0.43645,-0.90317
1,46,119,212,172,194.44,240,0.010786,0.0071842,0.012982,0.7766,-0.34987
1,46,120,56,472,383.44,372,0.0030221,0.0025087,0.0030912,0.46896,-0.055892
1,46,121,116,464,383.34,492,0.0038503,0.0033053,0.0040656,0.41315,-0.15438
1,46,122,152,464,392.43,480,0.0097135,0.0066813,0.012049,0.65712,-0.43746
1,46,123,180,416,357.19,468,0.015971,0.012223,0.016743,0.68582,-0.13334
1,46,124,388,428,488.56,492,0.0041878,0.0033157,0.0047739,0.44505,-0.23695
1,46,125,380,408,469,792,0.0036068,0.0032749,0.0036581,0.20366,-0.028803
1,46,126,336,444,464.65,540,0.0037927,0.0033714,0.0043236,0.27813,-0.31471
1,46,127,436,100,400.02,168,0.0027193,0.0025208,0.0026302,0.21897,0.078751
1,46,128,136,168,127.3,348,0.0057714,0.0044547,0.0076483,0.56955,-0.55774
1,46,129,76,316,230.4,672,0.0086504,0.0057605,0.0087247,1.2536,-0.023669
1,46,130,252,392,371.98,456,0.0077956,0.0063287,0.0073708,0.41067,0.11704
1,46,131,276,344,350.04,456,0.0098929,0.0068678,0.010583,0.79396,-0.14267
1,46,132,232,320,302.81,408,0.0096891,0.0073241,0.011516,0.66052,-0.36153
1,46,133,328,424,444.26,720,0.0043726,0.0035099,0.0045879,0.56806,-0.12089
1,46,134,180,192,176.9,372,0.0074092,0.0053866,0.0089088,0.62829,-0.36631
1,46,135,280,184,261.7,504,0.007755,0.0060034,0.0088142,0.46905,-0.25744
1,46,136,356,168,329.47,792,0.0042489,0.0040117,0.0053349,0.072233,-0.32481
1,46,137,356,140,323.9,816,0.0066376,0.0040786,0.0065046,0.62074,0.027224
1,46,138,252,152,224.86,480,0.012773,0.0080201,0.013088,0.84296,-0.046704
1,46,139,276,136,244.42,324,0.0077322,0.0057136,0.009551,0.63098,-0.41715
1,46,140,428,220,413.17,792,0.0035313,0.00335,0.0044209,0.1067,-0.35375
1,46,141,400,304,422.61,672,0.0038986,0.0033715,0.0036798,0.25776,0.11651
1,46,142,440,316,463.26,672,0.0041638,0.0041161,0.0041679,0.020991,-0.0018941
1,46,143,460,332,488.55,744,0.0037285,0.0025386,0.0038495,0.76635,-0.069509
1,46,144,252,352,340.19,336,0.011247,0.0065087,0.012701,1.2572,-0.27003
1,46,145,264,324,327.29,408,0.011596,0.0078424,0.012695,0.82511,-0.187
1,46,146,212,316,287.1,456,0.010785,0.0077794,0.01156,0.72824,-0.14618
1,46,147,388,196,367.76,720,0.0040459,0.0037963,0.0042681,0.094339,-0.082938
