stage,name,type,eff,a_oi,a_io,a_oo,a_ii,modul,clust,flow
49,140709,rewired,0.009268,-0.144145,-0.005494,-0.207133,-0.132442,0.416642,0.002888,0.025468
49,140707,rewired,0.001509,0.034042,-0.006007,-0.165851,-0.142535,0.608664,0.00029,0.082547
49, 140705b,rewired,0.001428,-0.133344,-0.012588,-0.258242,-0.160919,0.57345,0.000575,0.039142
49,140612,rewired,0.001192,0.007111,-0.002176,-0.210977,-0.185771,0.585444,0.00033,0.053588
49,140521,rewired,0.000697,0.058132,0.006402,-0.121464,-0.150556,0.667443,0.000126,0.063217
49,140328,rewired,0.000544,0.055467,-0.00121,-0.145456,-0.164416,0.663134,0.000091,0.078517
49,140314,rewired,0.004427,-0.122465,-0.005249,-0.175166,-0.119978,0.456976,0.001158,0.02359
49,140311,rewired,0.001035,-0.05587,-0.001509,-0.20857,-0.196446,0.601466,0.000297,0.053092
49,140310,rewired,0.000606,0.04834,0.000723,-0.164266,-0.192148,0.650009,0.000157,0.08793
46, 140718a,erdos,0.00284,0.01594,0.002152,-0.11987,-0.114597,0.54446,0.000849,0.094773
46, 140716b,erdos,0.003791,0.007031,0.01723,-0.124591,-0.125353,0.522805,0.001442,0.095563
46, 140716a,erdos,0.003571,0.003294,-0.002489,-0.125499,-0.123239,0.536167,0.001282,0.098964
46,140715,erdos,0.018698,-0.033689,-0.005879,-0.088059,-0.07912,0.378247,0.007141,0.090444
46,140711,erdos,0.007455,-0.014945,0.001122,-0.116524,-0.094536,0.469641,0.003147,0.09602
46, 140708b,erdos,0.006354,-0.007814,0.004294,-0.127125,-0.132021,0.500834,0.00275,0.089864
46, 140708a,erdos,0.002439,0.019878,0.011529,-0.144161,-0.132248,0.569769,0.000982,0.093287
46, 140705a,erdos,0.003538,-0.001964,0.004754,-0.127979,-0.135933,0.520165,0.001449,0.093954
46, 140704b,erdos,0.002529,0.017572,-0.001431,-0.129926,-0.141888,0.536897,0.001285,0.093652
46, 140704a,erdos,0.007314,-0.006415,0.013331,-0.10452,-0.099651,0.44732,0.003161,0.09822
46,140627,erdos,0.002907,0.013737,-0.002598,-0.113639,-0.121929,0.537033,0.001376,0.096183
46,140626,erdos,0.004215,0.027694,0.005642,-0.12767,-0.114294,0.503404,0.002215,0.097566
46,140610,erdos,0.001673,0.041297,-0.019977,-0.137148,-0.148806,0.582099,0.000972,0.097461
46,140516,erdos,0.004351,0.007753,-0.000621,-0.107957,-0.100056,0.499382,0.001838,0.101029
49,140726,erdos,0.002176,0.021952,0.001673,-0.141975,-0.127747,0.566813,0.00094,0.099023
49,140724,erdos,0.003187,0.044567,-0.011774,-0.124657,-0.113691,0.565288,0.001044,0.091848
49,140723,erdos,0.004527,0.015,0.007216,-0.118769,-0.12356,0.536451,0.001516,0.098587
49,140722,erdos,0.001564,0.016185,-0.002437,-0.159132,-0.149925,0.597626,0.000913,0.095624
49, 140718b,erdos,0.007207,-0.024261,0.001584,-0.129977,-0.132672,0.51079,0.003241,0.091094
49,140714,erdos,0.005404,-0.032066,-0.002222,-0.148386,-0.133337,0.534411,0.002115,0.09473
49,140710,erdos,0.002455,0.023179,-0.016581,-0.139895,-0.132103,0.581884,0.001107,0.094462
49,140709,erdos,0.01181,-0.021254,0.001204,-0.099253,-0.103747,0.448249,0.003471,0.09685
49,140707,erdos,0.001583,0.034325,0.011076,-0.138278,-0.127282,0.615831,0.000611,0.093185
49, 140705b,erdos,0.001751,0.030448,0.003953,-0.166031,-0.1562,0.621767,0.000874,0.097669
49,140612,erdos,0.001231,0.039471,0.011876,-0.162287,-0.147519,0.616365,0.000724,0.098732
49,140521,erdos,0.000626,0.03106,-0.007546,-0.163846,-0.164379,0.661656,0.000322,0.094169
49,140328,erdos,0.00056,0.037728,0.002296,-0.165654,-0.154291,0.671489,0.000248,0.091267
49,140314,erdos,0.005947,-0.00348,0.004932,-0.108533,-0.113383,0.489038,0.001472,0.092717
49,140311,erdos,0.001093,0.016685,0.017952,-0.170871,-0.161373,0.62439,0.000738,0.100595
49,140310,erdos,0.000602,0.036356,-0.006865,-0.176667,-0.159601,0.653859,0.000408,0.096554
