file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,synfire,synHelp,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180801103754-slide-looming,looming,slide,3,original,1.1885,1.0697,0.96296,1.8416,0.74725,0.95,0.47936,0.47729,0.85185,1.0445,0.50783,0.41243,-0.00039134,0.82837,-0.32207,-0.70843,0.0051371,0.29017,-0.24382,0.042273,0.12641,0.50943,-0.00078221,0.22263,0.27499,-1.9717,-1.9657,0.2069,0.71264,0.057471,39,30,34,13,0.94241,0.59873,0.78608,0.085819,0.36926,0.0035188,0.012107,0.011198,3.8611e-05,0.043791,0.40349,0.2044,0.87957
180801103754-slide-looming,looming,slide,4,original,1.0664,1.1326,0.97531,1.9363,0.83283,0.945,0.44811,0.4903,0.82716,1.1228,0.62816,0.21047,0.00016091,0.7377,-0.39771,-0.65387,-0.070833,-0.088784,0.017056,-0.041122,0.24968,0.52041,0.00053131,0.23491,0.28163,-1.987,-2.0015,0.10227,0.81818,0.056818,41,31,37,11,1.2419,0.64053,0.31027,0.13442,0.46771,0.00056385,0.029202,0.058298,3.5565e-05,0.026689,0.36032,0.28296,0.92034
180801103754-slide-looming,looming,slide,5,original,1.007,1.1207,0.96296,1.9798,0.75793,0.97,0.46063,0.51412,0.83951,1.0588,0.5533,0.19832,-0.00021375,0.70678,-0.33601,-0.58753,0.07985,-0.14593,0.19056,0.032534,0.29356,0.50388,0.0022877,0.2247,0.25239,-1.9647,-1.9647,0.079545,0.84091,0.056818,41,30,37,11,1.1211,0.66581,0.63469,0.15297,0.51342,0.00010398,0.029868,0.021142,8.8001e-06,0.0054797,0.36026,0.26075,0.91639
180801103802-slide-looming,looming,slide,1,original,0.39318,0.42726,0.92593,0.84782,0.45986,0.695,-0.0051411,-0.0036975,0.46914,0.33239,0.33929,0.76266,0.00036019,1.01,0.0088926,0.14487,0.1368,0.1092,0.016178,0.13845,-0.0091703,NaN,-5.3437e-05,0.028315,0.14248,-1.6007,-1.4105,0.47619,0.35714,0.071429,34,31,30,19,0.87542,0.5178,9.881e-05,0.022906,0.025558,0.015866,0.012251,0.01165,0.03113,0.75686,0.11163,0.40281,0.70167
180801103802-slide-looming,looming,slide,2,original,0.96407,0.78959,0.96296,1.2544,0.40581,0.8,0.33021,0.3425,0.77778,0.80352,0.39307,0.70407,-4.1672e-05,1.0237,0.13269,-0.4574,-0.15968,-0.046857,-0.10842,-0.17379,-0.059319,1,-0.00012669,0.13146,0.18072,-1.9429,-1.904,0.31034,0.57471,0.057471,35,30,29,18,0.6487,0.55277,9.6766e-05,0.036177,0.090909,0.012146,0.010986,0.0073349,4.4223e-05,0.28648,0.055534,0.16137,0.84493
180801103802-slide-looming,looming,slide,3,original,1.1991,1.0738,0.98765,1.7533,0.70638,0.955,0.51801,0.53315,0.90123,1.0233,0.46492,0.45177,-0.00030483,0.7987,-0.0026058,-0.64022,-0.1771,0.0035836,-0.13261,-0.22635,0.071112,0.56863,-0.00032506,0.23328,0.24115,-1.9785,-1.9717,0.14943,0.77011,0.057471,40,31,37,11,1.2405,0.64839,0.24855,0.082733,0.38076,0.0038975,0.014262,0.021639,2.7248e-05,0.02913,0.19544,0.15799,0.89556
180801103802-slide-looming,looming,slide,4,original,1.0803,1.0874,1,1.8638,0.81704,0.955,0.47802,0.5116,0.91358,1.011,0.55196,0.39563,-4.4792e-05,0.70587,-0.074711,-0.64247,-0.086146,-0.051159,-0.13,-0.17316,0.043329,0.57778,-0.001142,0.23705,0.28111,-2.0022,-1.9994,0.14773,0.77273,0.056818,41,31,39,14,0.93998,0.62645,0.81878,0.13208,0.46918,0.00070187,0.041764,0.041912,2.6161e-05,0.020614,0.27763,0.12733,0.88029
180801103802-slide-looming,looming,slide,5,original,0.9991,1.1014,1,1.7731,0.76698,0.95,0.4687,0.52665,0.93827,0.98197,0.50033,0.24136,0.000238,0.68861,-0.047685,-0.46545,-0.21473,0.24455,-0.16721,-0.13155,0.15394,0.53279,-0.0025605,0.23075,0.26278,-1.987,-1.9939,0.10227,0.81818,0.056818,41,30,40,10,0.9491,0.70778,0.82829,0.14972,0.49734,0.00011379,0.031184,0.055296,9.5453e-06,0.0064071,0.15991,0.14887,0.88572
180801103810-slide-looming,looming,slide,1,original,0.30377,0.35211,0.87654,0.80295,0.44724,0.625,-0.014645,-0.0073324,0.53086,0.33028,0.30355,0.7058,-0.0016559,1.0136,-0.041035,-0.21991,-0.14437,-0.081688,-0.053189,-0.14618,-0.017418,NaN,-1.0582e-05,0.013589,0.12032,-1.6652,-1.7131,0.47619,0.35714,0.059524,33,30,30,13,0.83738,0.63208,1.8725e-09,0.022933,0.025384,0.015833,0.01482,0.012551,0.033124,0.7425,0.023415,0.46359,0.69026
180801103810-slide-looming,looming,slide,2,original,0.70154,0.62293,0.93827,1.1716,0.56597,0.83,0.17155,0.17112,0.69136,0.60022,0.37767,0.64333,-2.1069e-05,1.036,0.00058043,-0.44719,0.14535,-0.21813,0.2576,0.1338,-0.072592,0.8,0.00033172,0.10666,0.1764,-1.9499,-1.8872,0.2907,0.60465,0.05814,35,30,29,13,0.85383,0.70997,0.045833,0.036922,0.10017,0.012044,0.012561,0.0075037,4.505e-05,0.29638,0.21869,0.33151,0.86637
180801103810-slide-looming,looming,slide,3,original,1.0282,0.9026,0.96296,1.646,0.69976,0.945,0.39206,0.39257,0.79012,0.98944,0.53076,0.2837,-0.00014388,0.80772,-0.09744,-0.49993,-0.091578,0.094085,-0.10602,-0.058933,0.16339,0.51923,-0.0005504,0.18834,0.23005,-2.0012,-1.9959,0.13636,0.78409,0.056818,40,32,36,13,1.0981,0.61286,0.67354,0.088865,0.39271,0.0033157,0.023352,0.023465,6.2018e-05,0.063817,0.27468,0.26846,0.88969
180801103810-slide-looming,looming,slide,4,original,1.0508,1.0237,0.97531,1.8032,0.78692,0.97,0.47984,0.495,0.82716,1.0835,0.55699,0.10623,-4.0721e-05,0.74449,-0.16897,-0.53525,-0.11803,0.045896,-0.094379,-0.10456,0.39876,0.50495,-0.0010315,0.20955,0.25778,-1.9647,-1.9774,0.079545,0.84091,0.056818,40,31,37,12,1.575,0.506,0.052513,0.1347,0.49865,0.00050613,0.065813,0.017112,4.7549e-05,0.033664,0.34414,0.29395,0.92119
180801103810-slide-looming,looming,slide,5,original,0.97712,1.0348,0.96296,1.729,0.69781,0.98,0.45557,0.4923,0.83951,1.0321,0.477,0.11119,2.1419e-05,0.73078,-0.21798,-0.50085,-0.26965,-0.10307,-0.15979,-0.24112,0.37884,0.47619,-0.0011273,0.20319,0.25566,-1.9774,-1.9478,0.090909,0.82955,0.056818,41,30,38,18,0.75768,0.59693,0.443,0.15202,0.51947,8.6789e-05,0.018797,0.026878,5.5882e-05,0.037309,0.33272,0.16977,0.9138
180801103818-slide-looming,looming,slide,1,original,0.61081,0.59688,0.93827,1.0955,0.48726,0.725,0.066873,0.071974,0.61728,0.48177,0.3818,0.85117,0.0020424,1.0094,0.15202,-0.023819,0.18847,-0.051274,0.20209,0.18767,-0.0055775,NaN,0.0005506,0.03622,0.17006,-1.6101,-1.6159,0.51807,0.3253,0.060241,34,30,28,20,0.72794,0.57408,5.1666e-17,0.022985,0.031232,0.015878,0.013684,0.015125,0.024169,0.75808,0.13718,0.34195,0.82279
180801103818-slide-looming,looming,slide,2,original,0.93977,0.80526,0.95062,1.3655,0.49182,0.92,0.28178,0.28668,0.7037,0.78468,0.4021,0.65028,0.00012548,0.9976,-0.12892,-0.71146,0.035018,-0.24658,0.14513,-0.037409,-0.04365,0.77778,0.00061668,0.14527,0.1908,-1.9569,-1.9499,0.29885,0.58621,0.057471,33,29,28,18,0.64374,0.53491,0.0019684,0.038828,0.12963,0.011429,0.02093,0.016542,4.3664e-05,0.19132,0.22353,0.22732,0.88055
180801103818-slide-looming,looming,slide,3,original,1.0864,0.99243,0.98765,1.7179,0.77078,0.94,0.3874,0.40068,0.79012,0.95163,0.53857,0.53165,0.00017789,0.81026,-0.21405,-0.78512,-0.092006,-0.0081161,-0.03759,-0.03289,0.14555,0.60377,-0.00049884,0.18296,0.22957,-2.0015,-1.9848,0.15909,0.76136,0.056818,39,31,36,18,1.5186,0.46113,0.041964,0.087795,0.38673,0.0034703,0.031455,0.019601,3.7723e-05,0.041421,0.30887,0.14368,0.88229
180801103818-slide-looming,looming,slide,4,original,0.96915,0.99406,0.97531,1.5366,0.52744,0.955,0.39579,0.4241,0.88889,0.86273,0.45786,0.36275,1.0011e-05,0.72356,-0.24479,-0.62106,0.17691,0.014526,0.11991,0.17876,0.16653,0.54206,0.0015761,0.22177,0.267,-1.9985,-1.9985,0.125,0.79545,0.056818,40,30,38,13,1.2913,0.59868,0.28059,0.13491,0.48603,0.0004996,0.052765,0.04125,1.8297e-05,0.013211,0.30956,0.15415,0.86769
180801103818-slide-looming,looming,slide,5,original,1.0144,1.0816,0.97531,1.7728,0.71801,0.93,0.45299,0.50071,0.90123,0.9823,0.50156,0.34043,-0.00025185,0.71389,-0.18618,-0.40937,0.032624,0.10862,0.066691,0.057177,0.15171,0.52419,0.00043111,0.21472,0.27201,-1.9478,-1.9478,0.068182,0.85227,0.056818,41,30,39,17,1.5366,0.48506,0.096314,0.15542,0.50376,6.7663e-05,0.076645,0.026321,1.2139e-05,0.0078075,0.29847,0.28766,0.89733
180801103826-slide-looming,looming,slide,1,original,0.43338,0.44709,0.87654,0.88464,0.43698,0.695,-0.0010849,-0.0102,0.49383,0.37074,0.37595,0.82797,-0.00028429,1.0083,-0.15062,-0.024393,-0.070245,-0.038154,-0.037302,-0.08028,-0.0043351,NaN,-0.00012174,0.056214,0.18262,-1.5714,-1.723,0.47059,0.35294,0.070588,34,31,28,12,0.86671,0.70095,7.9024e-08,0.022957,0.025546,0.015838,0.010555,0.010094,0.030644,0.74094,0.20178,0.38802,0.76677
180801103826-slide-looming,looming,slide,2,original,1.0466,0.85113,0.98765,1.4387,0.51501,0.9,0.30801,0.31282,0.71605,0.82001,0.41348,0.67408,-0.00058289,1.0145,0.061653,-0.38853,-0.056029,0.1784,-0.23656,-0.094519,-0.078174,1,-0.00059058,0.13815,0.19009,-1.9499,-1.969,0.2907,0.60465,0.05814,36,31,29,12,0.77142,0.62279,0.0033344,0.036451,0.069134,0.012021,0.013784,0.0083922,4.3771e-05,0.26295,0.26218,0.19615,0.88376
180801103826-slide-looming,looming,slide,3,original,1.1079,1.0267,0.98765,1.629,0.6359,0.96,0.41007,0.42714,0.77778,1.0674,0.65402,0.39814,-8.164e-05,0.74619,-0.23798,-0.55797,-0.29398,0.059253,-0.24428,-0.22096,0.070436,0.59322,-0.0012397,0.23826,0.28203,-1.9994,-1.9684,0.17045,0.75,0.056818,40,31,35,15,1.158,0.55126,0.50855,0.089477,0.3866,0.0032705,0.010865,0.028829,2.6571e-05,0.02735,0.36152,0.16712,0.89443
180801103826-slide-looming,looming,slide,4,original,0.98758,1.0511,0.98765,1.7417,0.69301,0.95,0.42943,0.46437,0.85185,0.99561,0.54446,0.26216,-9.1294e-05,0.67706,-0.42721,-0.66085,-0.057879,-0.030922,-0.012031,-0.034287,0.14121,0.48077,-0.0001506,0.22984,0.27792,-2.0012,-1.9939,0.13636,0.78409,0.056818,39,30,37,21,1.2791,0.45714,0.40179,0.13576,0.47245,0.00052672,0.017134,0.024901,2.0073e-05,0.014651,0.37153,0.24645,0.90934
180801103826-slide-looming,looming,slide,5,original,0.89267,1.0218,0.96296,1.663,0.61277,0.935,0.38696,0.43191,0.87654,0.91628,0.47336,0.20384,9.019e-05,0.68863,-0.41667,-0.70871,0.061429,-0.024867,0.098428,0.092891,0.20981,0.48507,0.0016226,0.20542,0.24955,-1.9939,-1.9939,0.11364,0.80682,0.056818,41,30,38,22,1.0712,0.46867,0.83743,0.15212,0.47747,0.00010392,0.01923,0.028521,3.5547e-05,0.024191,0.45569,0.25167,0.90301
180801103834-slide-looming,looming,slide,1,original,0.59109,0.5746,0.91358,1.038,0.41952,0.705,0.021889,0.0052353,0.54321,0.41536,0.362,0.86872,-0.0025406,1.0119,-0.10634,-0.14999,-0.23451,0.040676,-0.24444,-0.23889,-0.010364,NaN,-0.00061481,0.023966,0.17547,-1.4097,-1.6612,0.52381,0.30952,0.083333,38,32,30,13,0.78668,0.58039,3.1122e-15,0.022905,0.027456,0.01586,0.012122,0.0078339,0.026957,0.75716,0.319,0.30223,0.82521
180801103834-slide-looming,looming,slide,2,original,1.0438,0.81542,0.93827,1.4014,0.58838,0.92,0.45868,0.42353,0.80247,0.89212,0.40575,0.69255,2.0301e-05,1.0183,0.065479,-0.41039,-0.15411,-0.094703,-0.02713,-0.18619,-0.081391,1,6.1464e-05,0.14924,0.20088,-1.9429,-1.9792,0.31034,0.57471,0.057471,36,31,29,15,0.67342,0.65803,0.00018177,0.036847,0.10137,0.01177,0.015596,0.014504,4.7249e-05,0.257,0.40012,0.33312,0.87203
