file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,synfire,synHelp,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180801104944-slide-rand,rand,slide,5,original,0.4462,0.46055,0.95062,0.77998,0.31159,0.62,0.0019173,-0.0028495,0.53086,0.24562,0.23014,0.43168,2.4418e-05,1.0919,-0.025169,-0.46976,0.13143,-0.18157,0.20254,0.16593,0.086287,0.47126,0.00056702,-0.0016684,0.022411,-1.9647,-1.987,0.079545,0.84091,0.056818,43,31,42,19,0.38364,0.50751,0.039707,0.1243,0.47987,0.0013624,0.016217,0.013284,0.00019232,0.15016,0.13557,0.37906,0.70135
180801104951-slide-rand,rand,slide,1,original,0.47239,0.50721,0.91358,0.99218,0.38652,0.815,0.078159,0.093826,0.60494,0.51038,0.38489,0.824,-2.979e-06,1.0114,0.029853,-0.098611,-0.058842,-0.1535,0.087169,-0.065615,-0.0017045,NaN,0.00020423,0.027013,0.17799,-1.7066,-1.6809,0.45238,0.41667,0.059524,36,31,30,18,0.82837,0.53312,6.8891e-09,0.022965,0.02551,0.015844,0.014532,0.012345,0.026206,0.74819,0.19782,0.36238,0.79857
180801104951-slide-rand,rand,slide,2,original,0.50606,0.50999,0.87654,1.0636,0.49941,0.81,0.062438,0.047923,0.54321,0.45994,0.38187,0.82787,0.00022449,1.0079,0.0088207,-0.4842,0.070439,-0.050044,0.17173,0.070419,-0.003043,NaN,0.00024638,0.011203,0.14847,-1.9715,-1.9715,0.28736,0.58621,0.057471,36,31,28,11,0.97302,0.68334,0.54104,0.032869,0.07277,0.013534,0.013154,0.014813,0.0011503,0.6464,0.34934,0.44513,0.81254
180801104951-slide-rand,rand,slide,3,original,0.68929,0.62977,0.93827,1.1054,0.43029,0.795,0.043213,0.031677,0.53086,0.43211,0.42701,0.79262,-5.7718e-05,0.99211,-0.14481,-0.6316,-0.077502,-0.056158,-0.041325,-0.11383,-0.038016,0.36364,-2.088e-05,0.010522,0.079241,-1.9684,-1.9959,0.22727,0.69318,0.056818,40,32,33,13,1.174,0.68369,0.14609,0.055939,0.18956,0.008658,0.01014,0.0067144,0.00010293,0.34271,0.33594,0.43387,0.79004
180801104951-slide-rand,rand,slide,4,original,0.60803,0.61586,0.98765,1.1223,0.54547,0.76,0.041173,0.043704,0.53086,0.41937,0.39382,0.53652,1.3763e-05,0.95682,-0.14248,-0.30011,-0.043202,0.07228,-0.048528,-0.040716,-0.016536,0.42105,-1.9595e-05,0.0045262,0.048419,-2.0022,-1.987,0.14773,0.77273,0.056818,42,32,39,18,1.1935,0.5224,0.43182,0.090822,0.37879,0.0038112,0.015565,0.020267,0.00018429,0.21396,0.30488,0.42045,0.70705
180801104951-slide-rand,rand,slide,5,original,0.48832,0.51192,0.98765,0.90085,0.40383,0.745,0.014383,0.01269,0.50617,0.3077,0.30318,0.42415,-0.00013197,0.95735,-0.10124,-0.33936,-0.0012209,0.15986,-0.10778,-0.091707,0.15201,0.46341,-0.0004857,0.0063674,0.040778,-2.0022,-1.9774,0.14773,0.77273,0.056818,43,32,41,17,0.60645,0.64501,0.14554,0.11602,0.47544,0.0015392,0.064981,0.021991,0.00021412,0.17483,0.33285,0.34662,0.69449
180801104958-slide-rand,rand,slide,1,original,0.52819,0.56004,0.91358,1.0388,0.46352,0.795,0.044026,0.0499,0.55556,0.46561,0.34564,0.83086,-0.00068714,1.0172,-0.19008,-0.11916,-0.020205,-0.017131,-0.0064213,-0.019911,-0.014102,NaN,0.00025196,0.018248,0.17824,-1.2119,-1.6669,0.55952,0.28571,0.095238,31,29,26,13,0.82232,0.59482,2.4047e-10,0.023124,0.026907,0.015763,0.013116,0.011144,0.021638,0.73843,0.097296,0.43312,0.78253
180801104958-slide-rand,rand,slide,2,original,0.74871,0.70835,0.91358,1.2822,0.56157,0.84,0.05968,0.048025,0.55556,0.51796,0.45489,0.8419,4.2077e-05,1.0134,-0.013433,-0.51084,0.0054292,-0.022714,0.012667,-0.010316,-0.0403,NaN,5.9034e-06,0.01084,0.15162,-1.9499,-1.9455,0.2907,0.60465,0.05814,35,30,29,20,0.79465,0.57987,0.00026134,0.033922,0.068751,0.013315,0.0072593,0.0089918,0.0010854,0.62713,0.26136,0.365,0.85505
180801104958-slide-rand,rand,slide,3,original,0.68334,0.62929,0.90123,1.1422,0.49355,0.845,0.061607,0.050172,0.58025,0.46868,0.39106,0.75028,-0.00011299,1.0198,0.10204,-0.51361,-0.094903,0.23247,-0.19884,-0.030179,0.0039793,0.58824,-0.00044173,0.011511,0.078411,-1.9762,-1.991,0.1954,0.72414,0.057471,38,30,32,13,0.85364,0.68532,0.25032,0.05832,0.22312,0.0081754,0.010362,0.007866,9.0595e-05,0.25786,0.21034,0.42134,0.83995
180801104958-slide-rand,rand,slide,4,original,0.59104,0.5879,0.97531,0.99243,0.41203,0.875,0.055015,0.060831,0.58025,0.45035,0.3701,0.55799,-8.8163e-05,1.0133,-0.048511,-0.59435,0.083093,0.002342,0.030261,-0.020757,0.089788,0.50943,-9.3536e-05,0.0078346,0.048446,-1.9985,-1.9994,0.125,0.79545,0.056818,41,30,39,15,0.89764,0.70406,0.64703,0.089357,0.38183,0.003957,0.020516,0.029712,0.00012399,0.153,0.041307,0.29085,0.7636
180801104958-slide-rand,rand,slide,5,original,0.4857,0.50585,0.96296,0.81342,0.31009,0.835,0.054345,0.058729,0.64198,0.339,0.26801,0.34434,-0.00021513,1.0213,-0.0049765,-0.62165,-0.1205,0.18747,-0.19615,-0.13658,0.12747,0.49333,-0.0005148,0.010201,0.03526,-2.0012,-2.0012,0.13636,0.78409,0.056818,42,32,41,14,1.0726,0.54698,0.78062,0.119,0.47596,0.0014943,0.023777,0.020688,0.00014082,0.1165,0.058968,0.27524,0.79148
