file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,synfire,synHelp,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
190611155209-slide-looming,looming,slide,1,original,0.34764,0.40667,0.83951,0.83356,0.42085,0.555,-0.1202,-0.16451,0.2963,0.11007,0.2307,0.73602,0.0010736,1.0122,-0.14197,-0.035101,-0.24931,-0.066072,-0.12839,-0.24651,-0.0099417,NaN,-0.00031246,0.020746,0.12971,-1.5752,-1.6669,0.47619,0.36905,0.071429,31,28,26,18,0.8013,0.64259,4.7689e-11,0.022897,0.028087,0.015921,0.013278,0.019844,0.021859,0.74947,0.078251,0.57784,0.6497
190611155209-slide-looming,looming,slide,2,original,1.4875,1.4508,1,2.2007,0.72489,0.965,0.56036,0.644,0.92593,1.1425,0.46409,0.18889,-5.6678e-05,0.41594,0.41276,-0.75709,-0.041012,-0.026193,-0.1111,-0.11892,0.4717,0.52083,-0.00047696,0.24901,0.25281,-1.9657,-1.9584,0.21839,0.70115,0.057471,39,29,40,14,5.0583,0.62069,5.5343e-65,0.056326,0.52481,0.0055552,0.14645,0.11542,0.00055586,0.85623,-0.17958,0.35323,0.84168
190611155209-slide-looming,looming,slide,3,original,1.0134,1.1513,1,1.9561,0.79492,0.93,0.39772,0.49237,0.87654,1.0697,0.6171,-0.42293,3.658e-05,0.28928,0.69155,-0.45512,-0.3209,-0.32198,0.10631,-0.30312,0.65606,0.5045,0.00010489,0.2289,0.2632,-1.9684,-1.9684,0.22727,0.69318,0.056818,37,27,44,16,6.8929,0.62292,3.3407e-54,0.046573,0.8223,0.00083815,0.54011,0.54,0.0012355,0.94958,-0.31446,0.4135,0.87395
190611155209-slide-looming,looming,slide,4,original,0.96103,1.0299,0.97531,1.8286,0.84604,0.915,0.39043,0.43595,0.88889,0.95741,0.56248,-0.46724,-8.7064e-06,0.2821,0.62084,-0.27828,0.06976,0.068118,0.053621,0.054797,0.60686,0.49167,4.6345e-05,0.23028,0.2744,-1.9333,-1.9333,0.26136,0.65909,0.056818,39,28,44,18,9.7311,0.5532,1.4453e-83,0.044748,0.83278,0.00044948,0.28351,0.28734,0.0013079,0.96718,-0.18348,0.49781,0.86871
190611155209-slide-looming,looming,slide,5,original,0.81307,0.94937,0.93827,1.6354,0.66128,0.945,0.37212,0.41646,0.85185,0.88922,0.51194,-0.50495,-3.9097e-05,0.28601,0.44624,-0.38378,-0.32564,-0.32572,0.041777,-0.29388,0.70041,0.49206,7.6197e-05,0.22581,0.25182,-2.0015,-2.0015,0.15909,0.76136,0.056818,37,26,44,14,9.451,0.63381,2.5525e-76,0.039355,0.85386,0.00033698,0.31777,0.3179,0.0013839,0.97666,-0.37898,0.53172,0.87458
190611155416-slide-looming,looming,slide,1,original,0.53879,0.57885,0.95062,1.0532,0.46121,0.69,-0.01146,-0.0076286,0.51852,0.32003,0.30149,0.80147,-0.0018086,1.0118,-0.034828,0.14143,-0.16555,0.062532,-0.16384,-0.16422,-0.0083346,NaN,-0.00047688,0.00078249,0.11038,-1.6523,-1.7401,0.4881,0.36905,0.059524,32,29,27,13,0.88735,0.64437,5.8685e-06,0.022966,0.026976,0.015856,0.010233,0.01,0.030481,0.75606,0.042928,0.50675,0.6203
190611155416-slide-looming,looming,slide,2,original,1.4676,1.4403,1,2.1323,0.75258,0.955,0.5262,0.6084,0.95062,1.1387,0.62103,0.57247,6.5787e-05,0.45514,0.24468,-0.49558,-0.14,-0.19437,-0.046722,-0.14167,0.30151,0.475,5.9211e-06,0.23811,0.23791,-1.9848,-1.9994,0.20455,0.71591,0.056818,39,29,41,16,3.8562,0.64635,5.7067e-35,0.056962,0.49427,0.0058293,0.036274,0.030754,0.00056093,0.89124,-0.18793,0.34564,0.77528
190611155416-slide-looming,looming,slide,3,original,1.2456,1.1572,0.98765,1.7306,0.60577,0.925,0.48946,0.47976,0.87654,0.91796,0.41871,-0.12741,1.6482e-05,0.30299,0.29661,-0.41909,-0.0065517,-0.0058225,0.012273,-0.0079859,0.48512,0.49505,-2.0648e-05,0.22393,0.28731,-1.9959,-1.991,0.18182,0.73864,0.056818,37,30,41,18,5.667,0.57696,2.1039e-35,0.054385,0.79271,0.00082423,0.51625,0.51462,0.0012307,0.9597,0.18646,0.34604,0.83584
190611155416-slide-looming,looming,slide,4,original,0.98869,1.0514,0.97531,1.8386,0.82009,0.95,0.36377,0.40702,0.82716,0.89078,0.45651,-0.28505,-4.6543e-05,0.29197,0.30162,-0.26229,0.27322,0.3155,0.037951,0.084212,0.32627,0.5,3.9561e-05,0.21457,0.2602,-1.9848,-1.9848,0.20455,0.71591,0.056818,37,29,41,13,5.9907,0.66894,7.0081e-42,0.040906,0.85595,0.00045058,0.040171,0.028398,0.0013068,0.96797,0.057907,0.34534,0.86859
190611155416-slide-looming,looming,slide,5,original,0.98389,0.96629,0.96296,1.6285,0.56556,0.895,0.36585,0.38517,0.80247,0.87906,0.53609,-0.39696,-2.6363e-05,0.2946,0.04353,-0.15877,-0.17849,-0.17866,0.028607,-0.1654,0.40528,0.47154,3.9863e-06,0.21234,0.2662,-1.9959,-1.9959,0.18182,0.73864,0.056818,37,29,42,15,5.9474,0.6485,5.1748e-38,0.038123,0.85522,0.00034037,0.49515,0.49354,0.0013473,0.97263,0.03835,0.39583,0.84247
190611155430-slide-looming,looming,slide,1,original,0.36625,0.38803,0.88889,0.78128,0.40224,0.565,-0.092996,-0.13303,0.37037,0.17319,0.30111,0.82632,-0.0026056,1.0087,-0.15541,-0.0025764,-0.26437,-0.035276,-0.17417,-0.25901,-0.007998,NaN,-0.00066185,0.02905,0.14386,-1.5787,-1.6572,0.5119,0.30952,0.059524,31,30,26,14,0.87422,0.58175,2.499e-05,0.022971,0.026258,0.015836,0.011796,0.019148,0.029708,0.75144,0.22005,0.44202,0.65405
190611155430-slide-looming,looming,slide,2,original,1.4729,1.4913,1,2.3363,0.96671,0.945,0.52987,0.62576,0.96296,1.2256,0.66926,0.2432,-4.9762e-05,0.43301,0.33225,-0.72684,-0.34016,0.098932,-0.27796,-0.28253,0.32706,0.48889,-0.00024522,0.23151,0.22862,-1.9465,-1.9393,0.25,0.67045,0.056818,36,28,41,14,4.1982,0.58132,2.4043e-42,0.053444,0.52352,0.0055751,0.0068891,0.0088841,0.00060069,0.9007,-0.29352,0.33831,0.8157
190611155430-slide-looming,looming,slide,3,original,1.0852,1.1692,1,1.9622,0.8119,0.905,0.42776,0.50344,0.85185,0.97237,0.46911,-0.39724,-0.00011408,0.29211,0.56615,-0.58098,0.1706,0.17168,-0.052063,0.094583,0.53913,0.5,-5.7429e-05,0.22201,0.24699,-1.9848,-1.9848,0.20455,0.71591,0.056818,39,28,44,14,7.292,0.61805,2.3767e-56,0.05137,0.8029,0.00079872,0.028989,0.02598,0.0012043,0.93856,-0.34423,0.50209,0.90723
190611155430-slide-looming,looming,slide,4,original,1.0267,1.0959,1,1.8519,0.70433,0.935,0.4073,0.46982,0.81481,0.99728,0.47986,-0.42219,6.4353e-05,0.28597,0.52474,-0.43235,0.048282,0.0036897,0.09783,-0.021635,0.53862,0.48246,9.3162e-05,0.2219,0.26557,-1.9994,-1.9994,0.17045,0.75,0.056818,37,28,43,15,7.6525,0.68283,2.3386e-60,0.043649,0.82732,0.00046041,0.058454,0.058058,0.0013011,0.9443,-0.1285,0.45503,0.91189
190611155430-slide-looming,looming,slide,5,original,0.95709,1.0283,1,1.7739,0.71086,0.945,0.36997,0.42252,0.80247,0.90828,0.4832,-0.43281,4.8278e-06,0.28334,0.44964,-0.41688,-0.14053,-0.15658,0.071612,-0.14426,0.51264,0.48333,7.6632e-05,0.21933,0.26766,-1.9848,-1.9848,0.20455,0.71591,0.056818,38,28,43,13,8.6706,0.6314,4.9303e-72,0.042061,0.85231,0.00035573,0.16221,0.16122,0.0013013,0.96082,-0.13885,0.4298,0.92263
