file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,synfire,synHelp,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180801103650-slide-vis,vis,slide,3,original,0.74389,0.69052,0.93827,1.3984,0.7734,0.965,0.16301,0.16054,0.58025,0.77625,0.68773,0.47519,0.00026927,0.76531,0.041438,-0.44993,0.10991,-0.13393,0.16347,0.089239,-0.038893,0.55738,0.0010184,0.082619,0.14955,-2.0022,-1.9848,0.14773,0.77273,0.056818,40,32,35,9,0.45617,0.74741,0.0022584,0.088694,0.40779,0.0030339,0.018183,0.030082,1.8204e-05,0.017685,0.30357,0.10768,0.88885
180801103650-slide-vis,vis,slide,4,original,0.83713,0.85307,1,1.4896,0.70698,0.915,0.25654,0.2787,0.71605,0.80558,0.5298,0.35913,-0.00026612,0.73319,-0.11096,-0.4318,-0.17842,0.01864,-0.10624,-0.09209,0.11239,0.41489,-0.0014992,0.095409,0.16455,-1.9774,-1.9939,0.090909,0.82955,0.056818,42,32,40,13,0.55106,0.66062,0.071397,0.12841,0.48215,0.00066808,0.029018,0.024982,1.5862e-05,0.011779,0.30644,0.16984,0.86394
180801103650-slide-vis,vis,slide,5,original,0.81225,0.85466,0.97531,1.6484,0.9195,0.965,0.2763,0.3045,0.71605,0.89164,0.63227,0.25099,-0.00011549,0.72839,-0.068758,-0.40837,0.061047,0.024894,0.025037,0.017572,0.193,0.44882,-1.7579e-05,0.096606,0.16305,-1.9647,-1.9254,0.079545,0.84091,0.056818,40,30,40,18,0.049962,0.59442,0.0014484,0.14889,0.51534,0.00014544,0.040176,0.032543,9.6975e-06,0.0061187,0.18881,0.24389,0.89563
180801103658-slide-vis,vis,slide,1,original,0.43184,0.46189,0.85185,0.92302,0.36889,0.64,-0.067244,-0.10517,0.40741,0.28337,0.36956,0.84117,-0.0010788,1.0153,-0.072471,0.033002,-0.10654,0.038159,-0.11088,-0.1119,-0.0071223,NaN,-0.00045339,0.014775,0.15591,-1.5151,-1.7131,0.47619,0.34524,0.071429,29,28,25,13,0.84442,0.67424,1.6739e-09,0.022846,0.026844,0.015869,0.01372,0.0084573,0.031936,0.75717,0.1558,0.50092,0.74767
180801103658-slide-vis,vis,slide,2,original,0.64323,0.58385,0.88889,1.154,0.45561,0.84,0.055626,0.034143,0.54321,0.55367,0.52707,0.73924,-0.00046862,1.0331,-0.068113,-0.29286,-0.20154,0.022768,-0.17646,-0.26179,-0.099065,1,-0.00033309,0.078718,0.15261,-1.8875,-1.9708,0.33721,0.53488,0.05814,34,30,26,17,0.39478,0.56788,1.359e-10,0.036499,0.11001,0.011659,0.016966,0.010827,4.8073e-05,0.27087,0.32153,0.28596,0.85129
180801103658-slide-vis,vis,slide,3,original,0.71926,0.68096,0.97531,1.4551,0.87177,0.965,0.14325,0.15708,0.50617,0.8301,0.82562,0.41579,-0.00041604,0.86761,0.087588,-0.64531,0.016138,0.059797,0.034107,0.050845,-0.048053,0.67347,0.0003682,0.087707,0.16002,-2.0022,-1.9792,0.14773,0.77273,0.056818,40,31,36,13,0.32423,0.68324,0.00028956,0.075413,0.37699,0.0042697,0.016993,0.01612,3.6053e-05,0.040119,0.2279,0.15939,0.89408
180801103658-slide-vis,vis,slide,4,original,0.69918,0.71505,0.97531,1.4516,0.78758,0.885,0.16328,0.17756,0.60494,0.71629,0.58943,0.34673,-1.1589e-05,0.78917,0.19872,-0.56358,0.085525,-0.29623,0.082243,-0.019239,0.015366,0.51807,0.00034339,0.07082,0.12823,-1.9985,-1.9985,0.125,0.79545,0.056818,40,30,38,16,0.13417,0.51888,0.0021519,0.11585,0.46528,0.0010777,0.025184,0.0098936,2.2748e-05,0.017481,0.26901,0.20175,0.88116
180801103658-slide-vis,vis,slide,5,original,0.67674,0.73228,0.97531,1.5172,0.89757,0.91,0.17999,0.20181,0.64198,0.68009,0.54932,0.23579,-0.00053152,0.78092,0.23043,-0.4319,-0.027792,0.075258,-0.078819,-0.052663,0.109,0.5,-0.0015443,0.073929,0.13392,-1.9939,-1.9478,0.11364,0.80682,0.056818,41,30,40,16,0.39994,0.55947,0.044319,0.14253,0.48975,0.00023624,0.07017,0.036547,1.884e-05,0.012405,0.28423,0.30405,0.88884
180801103706-slide-vis,vis,slide,1,original,0.45156,0.48633,0.87654,0.91703,0.34558,0.65,0.015566,0.02934,0.54321,0.40426,0.31052,0.80101,-0.001198,1.0156,-0.035989,-0.13516,-0.13358,-0.0094947,-0.11436,-0.13822,-0.012174,NaN,-0.00021637,0.031131,0.13688,-1.4474,-1.796,0.53012,0.3253,0.084337,35,31,29,17,0.81644,0.60024,7.5051e-10,0.022871,0.025874,0.0159,0.012679,0.010623,0.0296,0.7535,0.16311,0.52949,0.68378
180801103706-slide-vis,vis,slide,2,original,0.62867,0.60712,0.87654,1.1629,0.5111,0.79,0.025513,0.00024417,0.54321,0.45351,0.39471,0.75272,-6.9188e-05,0.99753,-0.026083,-0.52899,0.022176,0.18143,-0.093656,0.016642,-0.085704,0.6,-0.00014961,0.039049,0.12151,-1.9584,-1.9594,0.22989,0.68966,0.057471,34,30,28,12,0.6334,0.74014,3.4662e-05,0.038649,0.12264,0.011257,0.016731,0.0099384,4.4614e-05,0.20779,0.31934,0.42591,0.81076
180801103706-slide-vis,vis,slide,3,original,0.67267,0.61012,0.93827,1.2614,0.6563,0.91,0.080764,0.06719,0.54321,0.61822,0.56054,0.40904,-0.0002269,0.85992,-0.17419,-0.6159,-0.086052,-0.068621,0.035252,-0.067202,0.050442,0.6,0.00023127,0.048386,0.11205,-2.0012,-1.9848,0.13636,0.78409,0.056818,39,32,34,11,0.31039,0.74399,0.00039393,0.082015,0.38315,0.0035685,0.019163,0.016359,3.4441e-05,0.038068,0.44209,0.13089,0.87227
180801103706-slide-vis,vis,slide,4,original,0.75498,0.76333,0.93827,1.4632,0.73846,0.93,0.16888,0.18175,0.65432,0.76935,0.64785,0.28548,7.8832e-06,0.79058,-0.14941,-0.50182,-0.10452,0.051761,-0.0052012,0.013875,0.11157,0.49425,7.8475e-05,0.072312,0.15045,-1.9774,-1.9939,0.090909,0.82955,0.056818,41,33,38,19,0.83343,0.52573,0.58286,0.12176,0.48505,0.00095347,0.03155,0.015047,4.2077e-05,0.032175,0.4825,0.11255,0.87559
180801103706-slide-vis,vis,slide,5,original,0.70518,0.73155,0.95062,1.5507,0.94244,0.91,0.17117,0.19112,0.64198,0.82166,0.70603,0.17793,0.00040719,0.80387,-0.14659,-0.52051,0.10178,0.13439,-0.059999,0.019227,0.32971,0.43925,-0.0010729,0.062544,0.12231,-1.987,-1.9478,0.10227,0.81818,0.056818,40,33,40,15,0.56365,0.62958,0.12606,0.14119,0.49997,0.0002088,0.023237,0.025638,4.5548e-05,0.030892,0.29273,0.075132,0.88598
