file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180801103332-slide-vis,vis,slide,1,original,0.40074,0.44751,0.90123,0.9373,0.58274,0.72,0.0045058,0.0024212,0.48148,0.36464,0.38402,0.7746,0.00075873,1.0123,-0.005067,-0.061076,0.12798,0.013733,0.11627,0.12958,-0.0050497,NaN,0.00026219,-1.5082,-1.7306,0.50602,0.37349,0.072289,33,30,28,15,0.84097,0.54564,7.5816e-08,0.022958,0.030171,0.01586,0.018058,0.012438,0.028402,0.75147,0.14386,0.60014,0.6742
180801103332-slide-vis,vis,slide,2,original,0.78342,0.70395,0.93827,1.4076,0.74191,0.93,0.12695,0.11927,0.60494,0.55398,0.42606,0.65249,4.4793e-06,1.0135,-0.014247,-0.42425,-0.070087,-0.033078,-0.0089323,-0.095697,-0.028358,0.7,-8.9014e-06,-2.0023,-1.9548,0.22989,0.66667,0.057471,36,31,28,18,0.61078,0.5665,0.0001958,0.038031,0.11921,0.011254,0.0061819,0.010527,4.6744e-05,0.22485,0.29757,0.40312,0.84811
180801103332-slide-vis,vis,slide,3,original,0.79923,0.73516,0.92593,1.5935,0.95951,0.98,0.15198,0.1508,0.51852,0.85667,0.83047,0.40572,-0.00012518,0.78322,0.16759,-0.33556,0.0052197,0.095135,-0.097634,0.023855,0.032839,0.57895,-0.00064819,-2.0022,-1.9785,0.14773,0.77273,0.056818,41,32,35,14,0.20235,0.57239,0.0002926,0.082525,0.41893,0.0035131,0.017719,0.049211,4.2395e-05,0.04227,0.39956,0.15844,0.91731
180801103332-slide-vis,vis,slide,4,original,0.79919,0.81756,0.92593,1.7565,1.0963,0.97,0.2158,0.2349,0.66667,0.96189,0.82789,0.17278,-3.6788e-05,0.70462,0.026828,-0.53589,0.13607,-0.10196,0.11689,0.062746,0.17478,0.55556,0.0008113,-2.0022,-1.9985,0.14773,0.77273,0.056818,40,31,37,18,0.2048,0.56651,0.0044641,0.12272,0.48641,0.00079382,0.020233,0.026539,5.2732e-05,0.040175,0.30601,0.13527,0.93057
180801103332-slide-vis,vis,slide,5,original,0.90562,0.93769,0.98765,1.8986,1.0738,0.96,0.30448,0.34162,0.75309,1.0437,0.77514,0.17095,-0.0016607,0.68079,-0.07591,-0.50748,-0.020141,0.20177,-0.24694,-0.19996,0.19584,0.46491,-0.0060714,-1.9774,-1.9774,0.090909,0.82955,0.056818,41,31,38,17,0.50564,0.56907,0.097233,0.14369,0.50392,0.00018406,0.047888,0.054493,4.2421e-05,0.028549,0.27975,0.15457,0.93432
180801103340-slide-vis,vis,slide,1,original,0.43135,0.49769,0.95062,0.91065,0.46579,0.67,-0.019319,-0.00948,0.48148,0.28308,0.29463,0.70113,-0.00094929,1.0128,-0.15624,-0.089196,-0.15061,-0.12995,-0.025798,-0.1554,-0.004788,NaN,-5.7038e-05,-1.6376,-1.7686,0.48193,0.38554,0.072289,31,30,28,12,0.85357,0.68678,2.5991e-09,0.022936,0.026517,0.01588,0.013148,0.01442,0.02763,0.75579,-0.01513,0.55199,0.61552
180801103340-slide-vis,vis,slide,2,original,0.74353,0.73133,0.95062,1.388,0.65581,0.895,0.14061,0.15039,0.64198,0.67172,0.52382,0.63515,-0.00011433,1.0105,0.062392,-0.48485,0.052404,0.18729,-0.085236,0.078113,-0.051622,0.78571,-0.0001235,-1.9448,-1.9399,0.27907,0.62791,0.05814,34,28,30,15,0.47957,0.58656,1.0716e-06,0.039366,0.14425,0.010913,0.012253,0.0047347,4.9136e-05,0.19739,0.094571,0.36572,0.81518
180801103340-slide-vis,vis,slide,3,original,0.8886,0.83886,0.97531,1.398,0.59797,0.975,0.25775,0.27293,0.69136,0.84013,0.61189,0.41215,0.00030467,0.80567,0.073462,-0.57262,-0.14841,-0.18919,0.13645,-0.051369,0.084304,0.65517,0.0013165,-1.9939,-1.9772,0.11364,0.80682,0.056818,41,32,37,18,0.39374,0.5483,0.014444,0.089942,0.3956,0.0032133,0.03417,0.057057,5.1018e-05,0.051667,0.25125,0.05631,0.90057
180801103340-slide-vis,vis,slide,4,original,0.92991,0.96501,0.98765,1.7156,0.8433,0.96,0.35415,0.38668,0.77778,1.0093,0.65054,0.28061,-0.00029641,0.73803,0.10337,-0.46566,-0.097399,-0.16647,0.066593,-0.16713,0.1243,0.53763,0.00064112,-2.0022,-2.0012,0.14773,0.77273,0.056818,41,31,38,18,0.18363,0.50385,0.0047546,0.12398,0.49245,0.00072502,0.024019,0.03713,3.9363e-05,0.030221,0.33588,0.051463,0.8927
180801103340-slide-vis,vis,slide,5,original,0.92012,1.029,0.98765,2.0167,1.1189,0.945,0.36511,0.4232,0.76543,1.0666,0.66344,0.22466,-5.3684e-05,0.72868,0.086588,-0.48616,0.028856,0.030778,0.12203,0.17788,0.12544,0.55652,0.00084189,-2.0012,-1.987,0.13636,0.78409,0.056818,42,31,40,15,0.2052,0.61286,0.0054325,0.14501,0.52553,0.00017035,0.05524,0.027919,4.8478e-05,0.033084,0.20419,0.16241,0.90424
180801103348-slide-vis,vis,slide,1,original,0.32705,0.38282,0.83951,0.76703,0.38315,0.64,-0.032548,-0.034839,0.48148,0.256,0.27634,0.74814,-0.0014937,1.0132,-0.073893,0.09543,-0.22444,-0.032601,-0.14539,-0.21896,-0.010431,NaN,-0.00030437,-1.476,-1.5905,0.50588,0.28235,0.070588,36,32,29,15,0.79762,0.59995,1.2002e-12,0.022889,0.024768,0.015878,0.0081787,0.0087472,0.028702,0.75379,0.11208,0.56076,0.65326
180801103348-slide-vis,vis,slide,2,original,0.63438,0.61722,0.88889,1.2566,0.63124,0.815,-0.011989,-0.021588,0.48148,0.44227,0.45198,0.65803,0.00051851,1.0047,0.1211,-0.2588,0.08067,0.033601,0.035944,0.094462,-0.072845,0.75,0.00016234,-2.0016,-1.9496,0.22989,0.65517,0.057471,36,30,29,15,0.46935,0.59792,2.7253e-09,0.038913,0.12821,0.011256,0.034732,0.033962,4.5643e-05,0.22378,0.20217,0.44687,0.80543
