file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180801104510-slide-rand,rand,slide,5,original,0.55828,0.60788,0.97531,1.1336,0.53556,0.68,0.051907,0.057104,0.59259,0.39166,0.31671,0.4399,-0.00020632,1.0622,0.031358,-0.44457,0.099969,0.12947,-0.044511,-0.024733,0.24301,0.45946,-0.00013486,-2.0012,-1.9939,0.13636,0.78409,0.056818,43,31,41,13,0.48227,0.64414,0.030628,0.12389,0.45565,0.001318,0.040113,0.020671,0.00014782,0.12235,0.10155,0.41387,0.80142
180801104518-slide-rand,rand,slide,1,original,0.53503,0.56861,0.88889,1.1811,0.6253,0.75,0.038966,0.035358,0.55556,0.47849,0.40436,0.84502,-8.3121e-05,1.0125,-0.037674,0.0033022,-0.10158,0.00034185,-0.10152,-0.11135,-0.0076806,NaN,-0.00032213,-1.6938,-1.5079,0.47619,0.36905,0.059524,34,30,27,20,0.75152,0.55093,1.1668e-14,0.022976,0.028043,0.015865,0.013467,0.014156,0.025843,0.7501,0.22926,0.53694,0.82608
180801104518-slide-rand,rand,slide,2,original,0.57289,0.57292,0.90123,1.2057,0.65967,0.76,0.067221,0.069872,0.58025,0.49191,0.43231,0.80622,-0.00030357,1.0108,-0.025533,-0.38546,-0.15565,-0.15887,-0.07142,-0.15949,-0.0074522,NaN,-0.0001092,-1.8429,-1.9594,0.35632,0.54023,0.057471,35,30,28,12,0.78381,0.6586,5.3347e-06,0.03398,0.075187,0.013376,0.015781,0.0055888,0.00065968,0.6342,0.22377,0.49874,0.83332
180801104518-slide-rand,rand,slide,3,original,0.76393,0.68405,0.91358,1.2453,0.5359,0.795,0.090969,0.083007,0.62963,0.46818,0.35662,0.73436,-0.00011447,1.0072,0.11964,-0.518,0.035852,0.099394,-0.1087,-0.029578,-0.018611,0.64706,-0.0002782,-1.991,-2.0023,0.19318,0.72727,0.056818,40,31,32,12,0.76939,0.76531,0.041358,0.056767,0.22199,0.0083635,0.025641,0.026478,0.00013495,0.39689,0.29877,0.3356,0.84637
180801104518-slide-rand,rand,slide,4,original,0.65541,0.66478,0.96296,1.0716,0.41561,0.83,0.061539,0.066604,0.60494,0.3808,0.32269,0.5034,-0.00010095,1.0145,0.16124,-0.62767,-0.022144,0.032606,-0.097531,-0.041612,0.0069332,0.41667,-0.00032102,-1.9994,-2.0015,0.17045,0.75,0.056818,42,31,38,13,0.63173,0.64317,0.069501,0.084533,0.37313,0.0040526,0.02365,0.02696,0.00018234,0.22773,0.15766,0.40657,0.80025
180801104518-slide-rand,rand,slide,5,original,0.51768,0.56902,0.96296,1.0757,0.52253,0.81,0.031292,0.030733,0.55556,0.38195,0.35506,0.32738,-3.5763e-05,1.0307,0.10375,-0.49793,-0.16077,-0.024894,-0.0068351,-0.11083,0.025476,0.47436,-2.9044e-05,-1.987,-1.9985,0.10227,0.81818,0.056818,41,30,39,12,0.92343,0.6127,0.75703,0.116,0.45181,0.001583,0.014091,0.014196,0.00018661,0.16492,0.14311,0.38148,0.83026
180801104526-slide-rand,rand,slide,1,original,0.44949,0.51597,0.88889,1.1387,0.64775,0.74,0.02307,0.028964,0.5679,0.47524,0.43723,0.79931,0.0014645,1.0145,0.14319,0.027409,0.095063,-0.15531,0.16886,0.091029,-0.0081577,NaN,0.00055704,-1.1998,-1.709,0.59036,0.24096,0.096386,30,28,25,14,0.8339,0.5758,1.882e-09,0.02282,0.026306,0.015967,0.015899,0.008644,0.027061,0.74637,0.075136,0.48247,0.79657
180801104526-slide-rand,rand,slide,2,original,0.62888,0.6379,0.91358,1.2983,0.66599,0.765,0.039219,0.029409,0.54321,0.57743,0.53545,0.79265,0.00015929,1.0176,0.051368,-0.48321,-0.051,-0.08382,0.029096,-0.059721,-0.021849,NaN,3.0018e-05,-1.9588,-1.9658,0.27907,0.61628,0.05814,30,26,24,15,0.76168,0.59098,5.5026e-06,0.033688,0.07091,0.013465,0.0099183,0.0038173,0.00056617,0.62811,0.14083,0.39645,0.80862
180801104526-slide-rand,rand,slide,3,original,0.62726,0.6012,0.93827,1.1642,0.58536,0.785,0.035803,0.024515,0.58025,0.4612,0.42225,0.73653,-0.00020712,1.0197,-0.1131,-0.64426,-0.027544,0.075963,-0.13118,-0.049793,0.052909,0.5,-0.00024867,-1.9584,-1.9714,0.22989,0.68966,0.057471,35,28,31,13,0.83752,0.65874,0.14608,0.056708,0.18127,0.0087119,0.0094092,0.015749,0.00012052,0.42086,0.17481,0.3853,0.79842
180801104526-slide-rand,rand,slide,4,original,0.61384,0.62861,0.96296,1.073,0.42878,0.815,0.003423,-0.0044039,0.48148,0.32791,0.35237,0.46976,-8.4085e-05,1.0355,-0.19618,-0.50237,0.0094082,-0.036125,-0.042931,-0.09977,0.06277,0.49123,-7.1522e-05,-2.0022,-1.9959,0.14773,0.77273,0.056818,42,31,38,11,0.79741,0.68141,0.30618,0.089744,0.35483,0.0037743,0.016349,0.012243,0.00017802,0.21667,0.21258,0.31046,0.80326
180801104526-slide-rand,rand,slide,5,original,0.43207,0.47285,0.95062,0.78419,0.31837,0.765,-0.0087503,-0.022779,0.49383,0.26624,0.27066,0.3904,1.4796e-05,1.043,-0.37024,-0.50526,-0.025643,0.046973,-0.076703,-0.07577,0.14684,0.45783,-0.00025767,-1.987,-2.0012,0.10227,0.81818,0.056818,40,30,39,23,0.71528,0.5529,0.36861,0.12054,0.48786,0.0012689,0.019531,0.020543,0.00020951,0.1691,0.2655,0.25004,0.78575
180801104533-slide-rand,rand,slide,1,original,0.45531,0.48374,0.87654,1.0584,0.63169,0.63,0.018894,0.0064537,0.54321,0.44266,0.40004,0.83328,0.00025094,1.0137,0.086703,-0.0088423,0.017249,0.061027,-0.032759,0.023004,-0.012528,NaN,-0.00010339,-1.5782,-1.6573,0.46429,0.38095,0.071429,31,29,23,17,0.75847,0.58089,4.3492e-16,0.022912,0.02831,0.015888,0.0080496,0.014206,0.024956,0.75063,0.18549,0.57125,0.80912
180801104533-slide-rand,rand,slide,2,original,0.62295,0.61792,0.88889,1.2581,0.66519,0.705,-0.0074755,-0.038938,0.48148,0.38107,0.40941,0.85191,-0.00029697,1.0203,-0.079411,-0.34771,-0.19938,-0.020512,-0.19199,-0.21744,0.00031195,NaN,-0.00019444,-1.9396,-1.9569,0.28736,0.62069,0.057471,31,28,24,14,0.74735,0.6734,2.0457e-06,0.033452,0.069536,0.013494,0.0089037,0.0059398,0.0009227,0.64273,0.21761,0.52191,0.82118
180801104533-slide-rand,rand,slide,3,original,0.58725,0.58431,0.91358,1.131,0.56439,0.72,-0.040984,-0.055015,0.40741,0.35793,0.42954,0.72065,0.00017206,1.0484,0.0051528,-0.39153,0.098115,0.02354,0.051871,0.091373,-0.0058676,0.42857,6.5326e-05,-1.9762,-1.9393,0.1954,0.72414,0.057471,37,30,32,14,0.88088,0.59707,0.36403,0.05795,0.2089,0.0083775,0.011985,0.012093,9.6278e-05,0.26778,0.16975,0.40966,0.77301
180801104533-slide-rand,rand,slide,4,original,0.55469,0.56002,0.96296,1.0031,0.44169,0.765,-0.023616,-0.029666,0.44444,0.36373,0.43039,0.47801,8.6728e-05,1.0589,0.12532,-0.37585,0.30929,0.11507,0.20394,0.32807,0.088331,0.43396,0.00053107,-1.9994,-2.0015,0.17045,0.75,0.056818,42,31,38,12,0.72727,0.72544,0.14241,0.091491,0.38472,0.0037224,0.021085,0.018414,0.00019962,0.23411,0.20881,0.33212,0.77609
180801104533-slide-rand,rand,slide,5,original,0.4691,0.50835,0.96296,0.90564,0.43679,0.75,-0.003003,-0.0057989,0.40741,0.38275,0.41365,0.37754,-5.8834e-05,1.0451,0.11919,-0.50031,0.0070229,0.2146,-0.14426,-0.0075433,0.20388,0.44944,-0.00033366,-1.9959,-1.9939,0.18182,0.73864,0.056818,42,30,40,18,0.73705,0.5834,0.371,0.12016,0.49362,0.0012461,0.02464,0.013049,0.00025666,0.21293,0.14984,0.23479,0.78143
180801104540-slide-rand,rand,slide,1,original,0.51088,0.56204,0.90123,1.1532,0.56961,0.79,0.095686,0.093861,0.61728,0.51076,0.39007,0.79275,0.00046028,1.0131,-0.021106,-0.031698,0.09397,-0.034106,0.090247,0.10311,-0.012551,NaN,0.00027477,-1.727,-1.5483,0.45238,0.40476,0.059524,23,24,21,16,0.78164,0.66952,1.3091e-13,0.023186,0.028284,0.015753,0.013426,0.010745,0.029682,0.74564,0.10156,0.52485,0.82431
180801104540-slide-rand,rand,slide,2,original,0.63751,0.64856,0.91358,1.2503,0.60867,0.765,0.076811,0.071638,0.60494,0.50483,0.38813,0.80718,0.00025189,1.0235,-0.014329,-0.3467,0.03091,-0.031951,0.081248,0.027324,-0.0032024,NaN,5.8143e-05,-1.9796,-1.9429,0.27586,0.5977,0.057471,31,28,27,17,0.83858,0.61103,0.0017573,0.032674,0.066435,0.013491,0.0070119,0.0060159,0.00062395,0.64019,0.16464,0.4339,0.84481
180801104540-slide-rand,rand,slide,3,original,0.61533,0.61921,0.93827,1.2037,0.53838,0.745,-0.029124,-0.052463,0.44444,0.33553,0.3513,0.79694,-8.4249e-05,1.0173,-0.067654,-0.64444,-0.060391,0.082637,-0.12856,-0.091014,-0.074264,0.58333,-0.00031434,-2.0072,-1.9496,0.1954,0.70115,0.057471,36,28,30,14,0.72661,0.60805,0.014377,0.05481,0.17775,0.0090216,0.028876,0.020199,9.66e-05,0.36141,0.22062,0.35573,0.81913
180801104540-slide-rand,rand,slide,4,original,0.58751,0.63225,0.95062,1.0968,0.48995,0.78,-0.0093096,-0.015997,0.45679,0.28896,0.31511,0.59156,-0.00017812,1.0122,0.077969,-0.44008,0.00040136,0.11277,-0.1564,-0.062861,-0.032649,0.45283,-0.00047878,-1.9985,-2.0012,0.125,0.79545,0.056818,41,31,38,17,0.93152,0.63828,0.7805,0.088584,0.37821,0.0039046,0.021935,0.026158,0.0002295,0.26522,0.18993,0.43161,0.81033
180801104540-slide-rand,rand,slide,5,original,0.43992,0.47499,0.97531,0.81662,0.36626,0.65,-0.02251,-0.030204,0.4321,0.25013,0.30869,0.40552,-8.3893e-06,1.0167,-0.019619,-0.61618,0.28161,-0.1606,0.38154,0.24492,0.024211,0.43902,0.00090258,-1.987,-1.9939,0.10227,0.81818,0.056818,42,31,40,13,0.51139,0.67159,0.046412,0.11906,0.48853,0.0014598,0.017032,0.012935,0.00025852,0.20449,0.21407,0.43096,0.80085
180801104547-slide-rand,rand,slide,1,original,0.44697,0.50935,0.90123,1.0161,0.53915,0.69,0.0031447,-0.0025684,0.53086,0.3384,0.31279,0.80074,-1.481e-05,1.0101,-0.032114,0.04581,0.027869,0.080226,-0.017762,0.036761,-0.020911,NaN,-4.3431e-05,-1.416,-1.7766,0.55422,0.28916,0.072289,34,30,27,14,0.86521,0.6729,2.9765e-07,0.022719,0.026455,0.015931,0.015939,0.0077518,0.032778,0.76227,0.14115,0.53857,0.77931
180801104547-slide-rand,rand,slide,2,original,0.51718,0.54339,0.88889,1.1381,0.6285,0.75,0.071291,0.075636,0.61728,0.49575,0.40521,0.75836,0.00047815,1.0078,-0.073035,-0.41627,-0.022512,0.013838,-0.027315,-0.019668,-0.0024194,NaN,-8.6253e-05,-1.9242,-1.8754,0.29885,0.6092,0.057471,34,30,27,13,0.89777,0.61863,0.02754,0.032913,0.071266,0.013596,0.044605,0.0084934,0.00039446,0.63911,0.20556,0.5354,0.8234
180801104547-slide-rand,rand,slide,3,original,0.84565,0.78181,0.95062,1.3219,0.51912,0.815,0.075919,0.078401,0.58025,0.58258,0.49141,0.77637,-6.6159e-06,1.0063,0.058877,-0.52185,0.039024,-0.094763,0.072756,0.01845,0.023379,0.42857,0.00019075,-1.9841,-1.9807,0.24138,0.66667,0.057471,40,31,35,12,0.86412,0.60173,0.26378,0.057745,0.18208,0.0085076,0.031236,0.019313,9.0095e-05,0.28093,0.19145,0.43285,0.86056
180801104547-slide-rand,rand,slide,4,original,0.70108,0.6862,0.96296,1.2915,0.64444,0.81,0.10897,0.11861,0.60494,0.48984,0.38978,0.54209,2.8996e-07,1.0054,0.12062,-0.60958,-0.26715,-0.097297,-0.039547,-0.23717,0.058013,0.42105,-8.4883e-05,-1.9772,-1.9959,0.21591,0.70455,0.056818,42,31,38,18,0.66321,0.59273,0.16729,0.091311,0.35501,0.0037157,0.015697,0.019321,0.00012803,0.14577,0.14068,0.48202,0.83772
